Source,Annotated,English
लय,खूप,Very
नाय,नाही,No/Not
कायचं,काय,What
कुठं,कुठे,Where
कसला,कसा,How
आत्ता,आताच,Just now
तसं,तसे,Like that
ह्याचं,याचे,Of this
त्याचं,त्याचे,Of that
म्हंजे,म्हणजे,Means
बघ,पहा,See
घे,घ्या,Take
दे,द्या,Give
जा,जावे,Go
ये,या,Come
बस,बसा,Sit
उठ,उठा,Stand
खायचं,खाणे,Eat
प्यायचं,पिणे,Drink
राहायचं,राहणे,Stay
आलाय,आला आहे,Came
गेलेय,गेले आहे,Gone
दिसतंय,दिसत आहे,Visible
करायचं,करणे,Do
झालय,झाले आहे,Done
बोलायचं,बोलणे,Speak
ऐक,ऐका,Listen
विचार,विचारा,Ask
समजलं,समजले,Understood
घडलं,घडले,Happened
चाललंय,चालत आहे,Going on
येणार,येईल,Will come
जाणार,जाईल,Will go
देणार,देईल,Will give
घेणार,घेईल,Will take
बसायचं,बसणे,Sit
उठायचं,उठणे,Get up
धावायचं,धावणे,Run
खेळायचं,खेळणे,Play
वाचायचं,वाचणे,Read
लिहायचं,लिहिणे,Write
झोपायचं,झोपणे,Sleep
जागायचं,जागणे,Wake up
रडायचं,रडणे,Cry
हसायचं,हसणे,Laugh
पाहिलं,पाहिले,Saw
ऐकलं,ऐकले,Heard
केलं,केले,Did
घेतलं,घेतले,Took
दिलं,दिलं आहे,Gave
